Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
43	-16	16	722	43	-16	16	722	43	-16	16	722	43	-16	16	722	43	-16	16	722	43	-16	16	722	43	-16	16	722	43	-16	16	722	43	-16	16	722	43	-16	16	722	43	-16	16	722	43	-16	16	722	43	-16	16	722	43	-16	16	722	43	-16	16	722	43	-16	16	722	43	-16	16	722
44	-13	13	735	44	-13	13	735	44	-13	13	735	44	-13	13	735	44	-13	13	735	44	-13	13	735	44	-13	13	735	44	-13	13	735	44	-13	13	735	44	-13	13	735	44	-13	13	735	44	-13	13	735	44	-13	13	735	44	-13	13	735	44	-13	13	735	44	-13	13	735	44	-13	13	735
45	-13	13	748	45	-13	13	748	45	-13	13	748	45	-13	13	748	45	-13	13	748	45	-13	13	748	45	-13	13	748	45	-13	13	748	45	-13	13	748	45	-13	13	748	45	-13	13	748	45	-13	13	748	45	-13	13	748	45	-13	13	748	45	-13	13	748	45	-13	13	748	45	-13	13	748
46	-15	15	763	46	-15	15	763	46	-15	15	763	46	-15	15	763	46	-15	15	763	46	-15	15	763	46	-15	15	763	46	-15	15	763	46	-15	15	763	46	-15	15	763	46	-15	15	763	46	-15	15	763	46	-15	15	763	46	-15	15	763	46	-15	15	763	46	-15	15	763	46	-15	15	763
47	-17	17	780	47	-17	17	780	47	-17	17	780	47	-17	17	780	47	-17	17	780	47	-17	17	780	47	-17	17	780	47	-17	17	780	47	-17	17	780	47	-17	17	780	47	-17	17	780	47	-17	17	780	47	-17	17	780	47	-17	17	780	47	-17	17	780	47	-17	17	780	47	-17	17	780
48	-15	15	795	48	-15	15	795	48	-15	15	795	48	-15	15	795	48	-15	15	795	48	-15	15	795	48	-15	15	795	48	-15	15	795	48	-15	15	795	48	-15	15	795	48	-15	15	795	48	-15	15	795	48	-15	15	795	48	-15	15	795	48	-15	15	795	48	-15	15	795	48	-15	15	795
49	-13	13	808	49	-13	13	808	49	-13	13	808	49	-13	13	808	49	-13	13	808	49	-13	13	808	49	-13	13	808	49	-13	13	808	49	-13	13	808	49	-13	13	808	49	-13	13	808	49	-13	13	808	49	-13	13	808	49	-13	13	808	49	-13	13	808	49	-13	13	808	49	-13	13	808
50	-14	14	822	50	-14	14	822	50	-14	14	822	50	-14	14	822	50	-14	14	822	50	-14	14	822	50	-14	14	822	50	-14	14	822	50	-14	14	822	50	-14	14	822	50	-14	14	822	50	-14	14	822	50	-14	14	822	50	-14	14	822	50	-14	14	822	50	-14	14	822	50	-14	14	822
51	-13	13	835	51	-13	13	835	51	-13	13	835	51	-13	13	835	51	-13	13	835	51	-13	13	835	51	-13	13	835	51	-13	13	835	51	-13	13	835	51	-13	13	835	51	-13	13	835	51	-13	13	835	51	-13	13	835	51	-13	13	835	51	-13	13	835	51	-13	13	835	51	-13	13	835
52	-224	26	861	52	-224	26	861	52	-224	26	861	52	-224	26	861	52	-224	26	861	52	-224	26	861	52	-224	26	861	52	-224	26	861	52	-224	26	861	52	-224	26	861	52	-224	26	861	52	-224	26	861	52	-224	26	861	52	-224	26	861	52	-224	26	861	52	-224	26	861	52	-224	26	861
53	-15	15	876	53	-15	15	876	53	-15	15	876	53	-15	15	876	53	-15	15	876	53	-15	15	876	53	-15	15	876	53	-15	15	876	53	-15	15	876	53	-15	15	876	53	-15	15	876	53	-15	15	876	53	-15	15	876	53	-15	15	876	53	-15	15	876	53	-15	15	876	53	-15	15	876
54	-13	13	889	54	-13	13	889	54	-13	13	889	54	-13	13	889	54	-13	13	889	54	-13	13	889	54	-13	13	889	54	-13	13	889	54	-13	13	889	54	-13	13	889	54	-13	13	889	54	-13	13	889	54	-13	13	889	54	-13	13	889	54	-13	13	889	54	-13	13	889	54	-13	13	889
55	-17	17	906	55	-17	17	906	55	-17	17	906	55	-17	17	906	55	-17	17	906	55	-17	17	906	55	-17	17	906	55	-17	17	906	55	-17	17	906	55	-17	17	906	55	-17	17	906	55	-17	17	906	55	-17	17	906	55	-17	17	906	55	-17	17	906	55	-17	17	906	55	-17	17	906
56	-17	17	923	56	-17	17	923	56	-17	17	923	56	-17	17	923	56	-17	17	923	56	-17	17	923	56	-17	17	923	56	-17	17	923	56	-17	17	923	56	-17	17	923	56	-17	17	923	56	-17	17	923	56	-17	17	923	56	-17	17	923	56	-17	17	923	56	-17	17	923	56	-17	17	923
57	-15	15	938	57	-15	15	938	57	-15	15	938	57	-15	15	938	57	-15	15	938	57	-15	15	938	57	-15	15	938	57	-15	15	938	57	-15	15	938	57	-15	15	938	57	-15	15	938	57	-15	15	938	57	-15	15	938	57	-15	15	938	57	-15	15	938	57	-15	15	938	57	-15	15	938
58	-14	14	952	58	-14	14	952	58	-14	14	952	58	-14	14	952	58	-14	14	952	58	-14	14	952	58	-14	14	952	58	-14	14	952	58	-14	14	952	58	-14	14	952	58	-14	14	952	58	-14	14	952	58	-14	14	952	58	-14	14	952	58	-14	14	952	58	-14	14	952	58	-14	14	952
