Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
120	-49	49	6561	120	-49	49	6561	120	-49	49	6561	120	-49	49	6561	120	-49	49	6561	120	-49	49	6561	120	-49	49	6561
121	-54	54	6615	121	-54	54	6615	121	-54	54	6615	121	-54	54	6615	121	-54	54	6615	121	-54	54	6615	121	-54	54	6615
122	-53	53	6668	122	-53	53	6668	122	-53	53	6668	122	-53	53	6668	122	-53	53	6668	122	-53	53	6668	122	-53	53	6668
123	-59	59	6727	123	-59	59	6727	123	-59	59	6727	123	-59	59	6727	123	-59	59	6727	123	-59	59	6727	123	-59	59	6727
124	-37	37	6764	124	-37	37	6764	124	-37	37	6764	124	-37	37	6764	124	-37	37	6764	124	-37	37	6764	124	-37	37	6764
125	-25	25	6789	125	-25	25	6789	125	-25	25	6789	125	-25	25	6789	125	-25	25	6789	125	-25	25	6789	125	-25	25	6789
126	-32	32	6821	126	-32	32	6821	126	-32	32	6821	126	-32	32	6821	126	-32	32	6821	126	-32	32	6821	126	-32	32	6821
127	-25	25	6846	127	-25	25	6846	127	-25	25	6846	127	-25	25	6846	127	-25	25	6846	127	-25	25	6846	127	-25	25	6846
128	-29	29	6875	128	-29	29	6875	128	-29	29	6875	128	-29	29	6875	128	-29	29	6875	128	-29	29	6875	128	-29	29	6875
129	-37	37	6912	129	-37	37	6912	129	-37	37	6912	129	-37	37	6912	129	-37	37	6912	129	-37	37	6912	129	-37	37	6912
130	-19	19	6931	130	-19	19	6931	130	-19	19	6931	130	-19	19	6931	130	-19	19	6931	130	-19	19	6931	130	-19	19	6931
131	-22	22	6953	131	-22	22	6953	131	-22	22	6953	131	-22	22	6953	131	-22	22	6953	131	-22	22	6953	131	-22	22	6953
132	-35	35	6988	132	-35	35	6988	132	-35	35	6988	132	-35	35	6988	132	-35	35	6988	132	-35	35	6988	132	-35	35	6988
133	-94	94	7082	133	-94	94	7082	133	-94	94	7082	133	-94	94	7082	133	-94	94	7082	133	-94	94	7082	133	-94	94	7082
134	-40	40	7122	134	-40	40	7122	134	-40	40	7122	134	-40	40	7122	134	-40	40	7122	134	-40	40	7122	134	-40	40	7122
