Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
189	-20	20	6178	189	-20	20	6178	189	-20	20	6178	189	-20	20	6178	189	-20	20	6178	189	-20	20	6178
190	-17	17	6195	190	-17	17	6195	190	-17	17	6195	190	-17	17	6195	190	-17	17	6195	190	-17	17	6195
191	-19	19	6214	191	-19	19	6214	191	-19	19	6214	191	-19	19	6214	191	-19	19	6214	191	-19	19	6214
192	-18	18	6232	192	-18	18	6232	192	-18	18	6232	192	-18	18	6232	192	-18	18	6232	192	-18	18	6232
193	-69	69	6301	193	-69	69	6301	193	-69	69	6301	193	-69	69	6301	193	-69	69	6301	193	-69	69	6301
194	-52	52	6353	194	-52	52	6353	194	-52	52	6353	194	-52	52	6353	194	-52	52	6353	194	-52	52	6353
195	-38	38	6391	195	-38	38	6391	195	-38	38	6391	195	-38	38	6391	195	-38	38	6391	195	-38	38	6391
196	-29	29	6420	196	-29	29	6420	196	-29	29	6420	196	-29	29	6420	196	-29	29	6420	196	-29	29	6420
197	-19	19	6439	197	-19	19	6439	197	-19	19	6439	197	-19	19	6439	197	-19	19	6439	197	-19	19	6439
198	-20	20	6459	198	-20	20	6459	198	-20	20	6459	198	-20	20	6459	198	-20	20	6459	198	-20	20	6459
199	-25	25	6484	199	-25	25	6484	199	-25	25	6484	199	-25	25	6484	199	-25	25	6484	199	-25	25	6484
