Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
188	-19	19	3758	188	-19	19	3758	188	-19	19	3758	188	-19	19	3758	188	-19	19	3758	188	-19	19	3758
189	-24	24	3782	189	-24	24	3782	189	-24	24	3782	189	-24	24	3782	189	-24	24	3782	189	-24	24	3782
190	-122	23	3805	190	-122	23	3805	190	-122	23	3805	190	-122	23	3805	190	-122	23	3805	190	-122	23	3805
191	-24	24	3829	191	-24	24	3829	191	-24	24	3829	191	-24	24	3829	191	-24	24	3829	191	-24	24	3829
192	-19	19	3848	192	-19	19	3848	192	-19	19	3848	192	-19	19	3848	192	-19	19	3848	192	-19	19	3848
193	-19	19	3867	193	-19	19	3867	193	-19	19	3867	193	-19	19	3867	193	-19	19	3867	193	-19	19	3867
194	-19	19	3886	194	-19	19	3886	194	-19	19	3886	194	-19	19	3886	194	-19	19	3886	194	-19	19	3886
195	-21	21	3907	195	-21	21	3907	195	-21	21	3907	195	-21	21	3907	195	-21	21	3907	195	-21	21	3907
196	-21	21	3928	196	-21	21	3928	196	-21	21	3928	196	-21	21	3928	196	-21	21	3928	196	-21	21	3928
197	-18	18	3946	197	-18	18	3946	197	-18	18	3946	197	-18	18	3946	197	-18	18	3946	197	-18	18	3946
198	-17	17	3963	198	-17	17	3963	198	-17	17	3963	198	-17	17	3963	198	-17	17	3963	198	-17	17	3963
199	-23	23	3986	199	-23	23	3986	199	-23	23	3986	199	-23	23	3986	199	-23	23	3986	199	-23	23	3986
