Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
106	-1624	1129	11405	106	-1624	1129	11405	106	-1624	1129	11405	106	-1624	1129	11405	106	-1624	1129	11405
107	-2007	1215	12620	107	-2007	1215	12620	107	-2007	1215	12620	107	-2007	1215	12620	107	-2007	1215	12620
108	-99	99	12719	108	-99	99	12719	108	-99	99	12719	108	-99	99	12719	108	-99	99	12719
109	-30	30	12749	109	-30	30	12749	109	-30	30	12749	109	-30	30	12749	109	-30	30	12749
110	-453	57	12806	110	-453	57	12806	110	-453	57	12806	110	-453	57	12806	110	-453	57	12806
111	-27	27	12833	111	-27	27	12833	111	-27	27	12833	111	-27	27	12833	111	-27	27	12833
112	-163	64	12897	112	-163	64	12897	112	-163	64	12897	112	-163	64	12897	112	-163	64	12897
113	-4728	2550	15447	113	-4728	2550	15447	113	-4728	2550	15447	113	-4728	2550	15447	113	-4728	2550	15447
114	-186	186	15633	114	-186	186	15633	114	-186	186	15633	114	-186	186	15633	114	-186	186	15633
115	-100	100	15733	115	-100	100	15733	115	-100	100	15733	115	-100	100	15733	115	-100	100	15733
116	-30	30	15763	116	-30	30	15763	116	-30	30	15763	116	-30	30	15763	116	-30	30	15763
117	-25	25	15788	117	-25	25	15788	117	-25	25	15788	117	-25	25	15788	117	-25	25	15788
118	-21	21	15809	118	-21	21	15809	118	-21	21	15809	118	-21	21	15809	118	-21	21	15809
119	-36	36	15845	119	-36	36	15845	119	-36	36	15845	119	-36	36	15845	119	-36	36	15845
120	-25	25	15870	120	-25	25	15870	120	-25	25	15870	120	-25	25	15870	120	-25	25	15870
121	-51	51	15921	121	-51	51	15921	121	-51	51	15921	121	-51	51	15921	121	-51	51	15921
122	-64	64	15985	122	-64	64	15985	122	-64	64	15985	122	-64	64	15985	122	-64	64	15985
123	-23	23	16008	123	-23	23	16008	123	-23	23	16008	123	-23	23	16008	123	-23	23	16008
124	-312	114	16122	124	-312	114	16122	124	-312	114	16122	124	-312	114	16122	124	-312	114	16122
125	-45	45	16167	125	-45	45	16167	125	-45	45	16167	125	-45	45	16167	125	-45	45	16167
126	-137	38	16205	126	-137	38	16205	126	-137	38	16205	126	-137	38	16205	126	-137	38	16205
127	-67	67	16272	127	-67	67	16272	127	-67	67	16272	127	-67	67	16272	127	-67	67	16272
128	-206	206	16478	128	-206	206	16478	128	-206	206	16478	128	-206	206	16478	128	-206	206	16478
129	-27	27	16505	129	-27	27	16505	129	-27	27	16505	129	-27	27	16505	129	-27	27	16505
130	-19	19	16524	130	-19	19	16524	130	-19	19	16524	130	-19	19	16524	130	-19	19	16524
131	-23	23	16547	131	-23	23	16547	131	-23	23	16547	131	-23	23	16547	131	-23	23	16547
132	-187	88	16635	132	-187	88	16635	132	-187	88	16635	132	-187	88	16635	132	-187	88	16635
