Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
47	-19	19	2525	47	-19	19	2525	47	-19	19	2525	47	-19	19	2525	47	-19	19	2525	47	-19	19	2525	47	-19	19	2525	47	-19	19	2525	47	-19	19	2525	47	-19	19	2525	47	-19	19	2525	47	-19	19	2525	47	-19	19	2525	47	-19	19	2525	47	-19	19	2525	47	-19	19	2525
48	-15	15	2540	48	-15	15	2540	48	-15	15	2540	48	-15	15	2540	48	-15	15	2540	48	-15	15	2540	48	-15	15	2540	48	-15	15	2540	48	-15	15	2540	48	-15	15	2540	48	-15	15	2540	48	-15	15	2540	48	-15	15	2540	48	-15	15	2540	48	-15	15	2540	48	-15	15	2540
49	-26	26	2566	49	-26	26	2566	49	-26	26	2566	49	-26	26	2566	49	-26	26	2566	49	-26	26	2566	49	-26	26	2566	49	-26	26	2566	49	-26	26	2566	49	-26	26	2566	49	-26	26	2566	49	-26	26	2566	49	-26	26	2566	49	-26	26	2566	49	-26	26	2566	49	-26	26	2566
50	-28	28	2594	50	-28	28	2594	50	-28	28	2594	50	-28	28	2594	50	-28	28	2594	50	-28	28	2594	50	-28	28	2594	50	-28	28	2594	50	-28	28	2594	50	-28	28	2594	50	-28	28	2594	50	-28	28	2594	50	-28	28	2594	50	-28	28	2594	50	-28	28	2594	50	-28	28	2594
51	-13	13	2607	51	-13	13	2607	51	-13	13	2607	51	-13	13	2607	51	-13	13	2607	51	-13	13	2607	51	-13	13	2607	51	-13	13	2607	51	-13	13	2607	51	-13	13	2607	51	-13	13	2607	51	-13	13	2607	51	-13	13	2607	51	-13	13	2607	51	-13	13	2607	51	-13	13	2607
52	-15	15	2622	52	-15	15	2622	52	-15	15	2622	52	-15	15	2622	52	-15	15	2622	52	-15	15	2622	52	-15	15	2622	52	-15	15	2622	52	-15	15	2622	52	-15	15	2622	52	-15	15	2622	52	-15	15	2622	52	-15	15	2622	52	-15	15	2622	52	-15	15	2622	52	-15	15	2622
53	-15	15	2637	53	-15	15	2637	53	-15	15	2637	53	-15	15	2637	53	-15	15	2637	53	-15	15	2637	53	-15	15	2637	53	-15	15	2637	53	-15	15	2637	53	-15	15	2637	53	-15	15	2637	53	-15	15	2637	53	-15	15	2637	53	-15	15	2637	53	-15	15	2637	53	-15	15	2637
54	-13	13	2650	54	-13	13	2650	54	-13	13	2650	54	-13	13	2650	54	-13	13	2650	54	-13	13	2650	54	-13	13	2650	54	-13	13	2650	54	-13	13	2650	54	-13	13	2650	54	-13	13	2650	54	-13	13	2650	54	-13	13	2650	54	-13	13	2650	54	-13	13	2650	54	-13	13	2650
55	-18	18	2668	55	-18	18	2668	55	-18	18	2668	55	-18	18	2668	55	-18	18	2668	55	-18	18	2668	55	-18	18	2668	55	-18	18	2668	55	-18	18	2668	55	-18	18	2668	55	-18	18	2668	55	-18	18	2668	55	-18	18	2668	55	-18	18	2668	55	-18	18	2668	55	-18	18	2668
56	-242	44	2712	56	-242	44	2712	56	-242	44	2712	56	-242	44	2712	56	-242	44	2712	56	-242	44	2712	56	-242	44	2712	56	-242	44	2712	56	-242	44	2712	56	-242	44	2712	56	-242	44	2712	56	-242	44	2712	56	-242	44	2712	56	-242	44	2712	56	-242	44	2712	56	-242	44	2712
