Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
69	-17	17	2991	69	-17	17	2991	69	-17	17	2991	69	-17	17	2991	69	-17	17	2991	69	-17	17	2991	69	-17	17	2991	69	-17	17	2991	69	-17	17	2991	69	-17	17	2991
70	-15	15	3006	70	-15	15	3006	70	-15	15	3006	70	-15	15	3006	70	-15	15	3006	70	-15	15	3006	70	-15	15	3006	70	-15	15	3006	70	-15	15	3006	70	-15	15	3006
71	-118	19	3025	71	-118	19	3025	71	-118	19	3025	71	-118	19	3025	71	-118	19	3025	71	-118	19	3025	71	-118	19	3025	71	-118	19	3025	71	-118	19	3025	71	-118	19	3025
72	-13	13	3038	72	-13	13	3038	72	-13	13	3038	72	-13	13	3038	72	-13	13	3038	72	-13	13	3038	72	-13	13	3038	72	-13	13	3038	72	-13	13	3038	72	-13	13	3038
73	-126	27	3065	73	-126	27	3065	73	-126	27	3065	73	-126	27	3065	73	-126	27	3065	73	-126	27	3065	73	-126	27	3065	73	-126	27	3065	73	-126	27	3065	73	-126	27	3065
74	-13	13	3078	74	-13	13	3078	74	-13	13	3078	74	-13	13	3078	74	-13	13	3078	74	-13	13	3078	74	-13	13	3078	74	-13	13	3078	74	-13	13	3078	74	-13	13	3078
75	-15	15	3093	75	-15	15	3093	75	-15	15	3093	75	-15	15	3093	75	-15	15	3093	75	-15	15	3093	75	-15	15	3093	75	-15	15	3093	75	-15	15	3093	75	-15	15	3093
76	-14	14	3107	76	-14	14	3107	76	-14	14	3107	76	-14	14	3107	76	-14	14	3107	76	-14	14	3107	76	-14	14	3107	76	-14	14	3107	76	-14	14	3107	76	-14	14	3107
77	-113	14	3121	77	-113	14	3121	77	-113	14	3121	77	-113	14	3121	77	-113	14	3121	77	-113	14	3121	77	-113	14	3121	77	-113	14	3121	77	-113	14	3121	77	-113	14	3121
78	-233	35	3156	78	-233	35	3156	78	-233	35	3156	78	-233	35	3156	78	-233	35	3156	78	-233	35	3156	78	-233	35	3156	78	-233	35	3156	78	-233	35	3156	78	-233	35	3156
79	-127	28	3184	79	-127	28	3184	79	-127	28	3184	79	-127	28	3184	79	-127	28	3184	79	-127	28	3184	79	-127	28	3184	79	-127	28	3184	79	-127	28	3184	79	-127	28	3184
80	-13	13	3197	80	-13	13	3197	80	-13	13	3197	80	-13	13	3197	80	-13	13	3197	80	-13	13	3197	80	-13	13	3197	80	-13	13	3197	80	-13	13	3197	80	-13	13	3197
